p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,hardship,contact,t1,t2,t3,t4,t5,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,utility,id
1,7,7,7,7,1,6,7,7,7,4,1,6,6,6,6,2,4,6,4,6,4,4,4,4,6,4,4,4,6,AU04,214
7,7,4,7,7,4,4,7,4,4,4,1,7,7,7,7,7,4,7,4,4,4,4,4,4,4,4,6,4,5,AU04,215
7,7,7,7,7,4,4,7,4,4,5,2,7,7,7,7,6,4,7,1,7,3,6,4,1,1,1,4,6,6,AU04,216
7,6,6,7,7,2,2,4,3,4,1,2,6,7,6,6,6,6,7,6,7,6,6,6,4,4,4,6,6,6,AU04,217
6,6,4,7,7,4,4,6,4,4,1,1,7,7,7,7,7,4,7,4,4,4,6,4,4,4,4,7,4,5,AU04,218
7,7,7,7,7,7,7,7,7,7,2,2,7,6,5,5,7,6,7,6,6,6,7,6,6,6,6,6,6,7,AU04,219
7,7,7,7,7,6,2,4,4,7,6,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,AU04,220
7,7,7,7,7,7,5,7,7,7,4,1,7,4,4,3,7,4,7,7,7,7,4,7,7,7,7,7,7,4,AU04,221
7,7,7,7,7,7,7,5,7,5,1,2,7,7,7,4,6,6,7,6,6,4,6,4,4,4,4,6,4,4,AU04,222
7,7,7,7,7,7,7,7,7,7,1,1,7,6,7,6,7,5,6,6,6,6,5,6,5,6,6,6,6,6,AU04,223
6,7,5,6,4,5,4,4,6,7,2,1,7,7,7,7,7,3,6,7,6,7,5,4,7,7,7,6,7,7,AU04,224
7,7,6,7,7,6,6,6,5,6,5,2,6,6,6,5,3,2,5,5,3,5,5,3,3,2,3,3,4,3,AU04,225
7,4,6,7,7,4,3,4,4,4,5,1,5,3,3,1,4,4,5,5,5,5,5,5,5,2,5,2,6,5,AU04,226
6,6,6,5,6,4,5,6,4,5,4,2,5,5,5,5,7,3,5,4,4,4,4,4,3,4,4,3,4,3,AU04,227
7,7,7,7,7,7,6,7,7,6,2,2,1,1,1,7,2,6,1,6,7,2,1,1,6,2,1,1,1,6,AU04,228
7,6,6,2,7,6,6,7,6,6,2,2,7,7,7,7,7,6,7,6,7,4,6,6,6,5,6,6,6,6,AU04,229
7,7,7,7,7,4,4,6,4,4,2,2,6,6,6,6,5,4,6,5,5,5,5,5,5,4,5,5,5,5,AU04,230
7,7,7,7,7,7,7,7,7,7,2,2,6,6,6,6,6,4,6,6,6,3,6,6,7,5,6,6,7,6,AU04,231
7,5,3,7,7,4,3,6,4,4,1,1,7,7,6,6,7,2,6,7,6,6,7,7,6,1,6,6,6,6,AU04,232
7,7,7,7,7,7,4,7,4,7,1,2,7,7,7,6,7,6,6,6,6,4,6,6,6,4,6,6,6,6,AU04,233
5,5,5,5,6,4,4,3,4,4,2,1,7,6,5,6,5,6,7,6,7,6,6,6,6,6,6,7,6,6,AU04,234
7,7,7,7,7,7,7,7,7,7,2,1,6,7,6,6,6,4,6,4,5,4,5,4,4,3,4,1,4,2,AU04,235
7,5,7,7,7,7,4,7,5,4,4,2,6,5,6,6,6,5,4,5,4,4,5,6,4,4,4,5,5,5,AU04,236
6,7,4,6,7,4,4,7,4,4,5,1,7,6,5,5,7,4,6,4,4,4,4,4,4,4,4,3,4,4,AU04,237
7,7,7,7,7,4,4,6,4,4,1,2,7,6,6,6,6,7,6,6,7,6,6,6,6,4,6,6,6,6,AU04,238
6,5,4,6,7,2,3,3,4,1,1,2,6,7,5,6,7,7,6,7,6,7,7,7,6,4,6,7,7,6,AU04,239
7,6,5,7,7,5,4,5,4,4,3,2,6,5,2,2,6,6,6,4,6,6,4,6,6,4,6,6,6,6,AU04,240
7,7,6,7,7,6,6,7,6,7,3,2,6,7,6,6,6,5,6,5,6,3,6,5,3,5,5,5,6,5,AU04,241
7,7,7,7,7,4,4,1,4,4,1,2,7,6,1,1,5,1,7,7,7,7,7,7,6,4,7,7,7,6,AU04,242
7,7,7,7,7,5,3,4,3,4,2,1,6,7,6,6,7,6,6,5,5,4,6,4,4,4,4,6,3,5,AU04,243
7,7,6,7,7,5,4,6,4,4,2,2,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,AU04,244
6,6,2,2,2,2,6,6,6,6,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,AU04,245
7,6,5,7,7,5,5,5,5,4,3,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,AU04,246
7,7,7,7,7,6,5,7,6,6,2,2,7,7,7,7,6,7,7,7,7,7,7,7,6,4,7,7,7,7,AU04,247
7,7,7,7,7,6,5,7,5,3,1,2,7,7,7,5,7,5,7,7,6,7,7,7,4,6,7,7,7,7,AU04,248
7,7,7,7,7,2,3,5,3,3,1,1,7,6,6,3,7,6,7,5,6,4,7,4,4,3,4,7,4,6,AU04,249
7,7,7,7,7,4,1,5,2,1,2,2,7,7,7,7,7,4,7,7,7,7,7,7,7,4,7,7,7,5,AU04,250
7,7,7,7,7,5,4,7,4,4,5,2,7,6,6,7,6,3,6,7,6,6,7,7,5,7,6,3,7,6,AU04,251
6,6,6,7,7,4,4,4,5,4,5,4,6,5,6,6,5,5,6,4,5,4,5,4,4,3,4,5,4,5,AU04,252
7,7,7,7,7,4,3,4,2,4,1,2,5,7,6,6,7,6,7,6,6,6,6,6,6,6,6,6,6,4,AU04,253
7,7,7,7,7,5,5,5,5,6,1,1,7,7,7,7,6,6,6,6,7,6,7,6,6,6,6,6,6,6,AU04,254
7,7,6,6,7,6,6,6,5,7,1,2,7,7,7,7,7,7,6,6,7,4,6,4,4,6,4,7,4,6,AU04,255
7,7,6,7,7,3,2,6,3,4,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,AU04,256
7,7,7,7,7,7,6,7,6,2,2,1,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,AU04,257
7,7,6,7,7,4,5,7,5,4,2,1,6,4,6,6,5,4,7,4,4,4,5,4,4,2,4,3,4,5,AU04,258
7,7,7,7,7,6,6,6,4,4,5,2,7,6,6,6,5,4,6,6,4,5,5,5,5,4,5,5,6,6,AU04,259
7,7,7,7,7,7,7,7,7,7,1,2,7,6,6,5,7,6,6,6,6,6,4,5,6,6,6,6,4,6,AU04,260
7,6,7,7,7,5,4,6,3,4,5,2,6,6,6,6,6,3,6,5,6,5,6,6,5,4,4,6,5,5,AU04,261
7,6,7,7,7,3,3,5,4,3,5,1,7,6,5,6,4,4,6,4,5,4,5,4,4,1,4,5,5,6,AU04,262
6,2,6,7,7,6,4,3,2,4,4,1,7,6,4,4,6,3,6,6,6,6,5,6,7,5,6,6,6,6,AU04,263
7,7,7,7,7,6,7,5,5,7,3,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,AU04,264
7,7,7,7,7,5,4,6,3,4,1,2,7,7,6,5,7,4,5,5,5,4,5,4,5,4,5,5,4,4,AU04,265
7,7,7,7,7,7,5,7,7,7,1,2,7,5,6,3,6,5,5,5,3,5,5,5,2,2,3,5,3,5,AU04,266
7,7,7,7,7,6,6,6,6,5,1,2,6,7,6,7,6,3,6,6,6,6,6,6,6,5,6,6,6,6,AU04,267
7,6,6,6,7,4,4,5,4,4,2,1,6,6,6,6,6,5,6,4,6,4,6,4,4,4,4,6,4,4,AU04,268
7,7,7,7,7,7,7,7,7,7,4,2,6,2,4,4,6,4,4,4,6,6,6,6,4,2,6,6,6,4,AU04,269
7,7,7,7,7,6,5,6,6,6,6,2,7,7,6,6,7,4,7,5,6,5,6,6,3,4,6,3,6,6,AU04,270
7,7,7,7,7,4,4,5,4,4,2,2,5,6,5,6,6,3,5,5,5,4,4,4,4,4,4,5,4,5,AU04,271
7,7,7,6,7,5,5,3,4,4,1,2,7,3,7,5,7,2,6,7,6,4,6,7,7,3,7,7,7,4,AU04,272
7,7,7,6,7,3,2,5,2,4,1,1,7,6,6,7,6,4,7,6,6,6,6,6,6,6,6,6,6,6,AU04,273
7,7,7,7,7,6,5,7,6,6,7,2,7,7,6,7,6,6,3,3,3,6,4,3,2,3,3,6,5,3,AU04,274
7,7,7,7,7,4,4,5,4,4,1,2,7,6,6,4,7,6,6,6,6,4,6,4,4,5,4,6,4,6,AU04,275
7,7,7,7,7,7,6,7,6,7,5,2,6,6,7,7,5,5,5,5,4,4,5,4,5,4,4,5,5,5,AU04,276
7,7,7,7,7,7,5,5,4,3,5,2,7,5,6,6,3,3,6,7,7,5,7,7,7,4,7,5,6,6,AU04,277
6,7,5,7,7,5,4,5,5,5,2,1,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,4,6,4,AU04,278
7,7,7,7,7,2,2,2,2,1,4,2,6,5,3,3,3,4,6,5,6,6,6,4,4,3,5,2,4,5,AU04,279
7,6,6,7,7,5,4,6,5,6,2,2,7,6,6,6,6,6,6,4,6,5,6,6,6,6,6,6,6,6,AU04,280
6,6,6,6,6,6,6,6,5,6,1,1,7,7,7,7,6,3,6,6,6,4,4,4,4,2,4,5,4,6,AU04,281
7,7,7,7,7,3,3,6,4,4,5,2,7,7,6,6,6,4,7,5,6,4,7,4,4,4,4,6,4,6,AU04,282
7,7,7,7,7,7,7,7,7,4,4,2,7,6,6,6,7,6,5,4,7,4,6,7,4,4,6,6,6,4,AU04,283
7,7,7,7,7,6,6,7,6,7,1,1,7,7,7,7,6,7,7,7,6,6,6,6,7,6,7,7,6,7,AU04,284
7,7,7,7,7,4,4,4,4,7,4,1,6,4,4,3,7,4,4,4,4,4,5,6,6,4,6,4,6,4,AU04,285
7,7,6,7,7,6,4,7,6,5,4,2,7,7,7,7,2,4,7,5,7,7,7,6,4,4,5,7,7,7,AU04,286
7,7,7,7,7,7,7,7,7,7,5,2,1,4,4,3,4,3,5,5,5,5,5,5,6,7,5,4,5,5,AU04,287
7,5,4,7,7,2,1,4,3,2,1,2,7,6,5,6,5,6,6,6,7,6,7,5,6,6,6,6,6,6,AU04,288
7,7,7,7,7,5,4,6,2,6,1,2,7,6,7,4,6,4,6,4,6,4,6,4,4,5,4,3,4,4,AU04,289
7,7,7,7,7,7,7,7,6,7,6,1,6,6,6,6,6,5,6,6,6,6,6,6,6,6,7,6,6,6,AU04,290
7,7,7,7,7,7,7,7,6,7,3,1,6,6,6,6,3,4,6,4,6,4,6,4,4,4,4,3,4,4,AU04,291
7,7,6,7,7,5,5,6,4,5,1,2,7,7,6,6,6,4,7,6,6,6,6,6,5,4,6,6,6,6,AU04,292
1,1,7,7,6,5,4,3,2,7,1,2,7,4,6,4,6,4,5,5,4,4,6,5,4,4,6,5,5,5,AU04,293
5,4,3,5,5,1,1,2,4,1,2,3,6,6,6,2,6,2,6,6,6,6,6,6,6,4,6,3,6,3,AU04,294
7,7,7,7,7,4,5,7,5,6,1,1,7,7,6,5,6,6,6,6,6,6,6,5,5,5,6,6,6,6,AU04,295
7,7,7,7,7,6,6,5,5,5,2,1,7,6,7,6,7,4,7,6,6,6,6,6,6,5,6,6,7,6,AU04,296
7,7,7,7,7,4,4,7,4,4,5,2,7,7,7,6,7,7,7,6,7,4,6,4,4,4,4,6,4,6,AU04,297
7,5,6,6,7,5,5,6,4,4,2,2,7,6,6,6,6,5,6,5,5,5,4,5,3,4,6,5,5,5,AU04,298
7,7,7,7,7,7,7,7,7,7,6,1,7,7,6,6,5,4,7,5,6,5,4,5,6,4,5,6,6,6,AU04,299
6,5,5,6,7,5,5,5,4,4,5,1,6,5,5,6,6,4,4,4,4,4,6,4,4,4,4,6,4,5,AU04,300
7,7,7,7,7,6,4,7,7,7,1,1,7,7,6,6,3,5,6,6,6,6,6,6,6,6,6,6,6,6,AU04,301
7,7,7,7,7,7,6,7,6,7,2,1,6,7,7,7,6,4,7,6,5,6,6,4,6,4,6,7,6,6,AU04,302
7,7,5,7,7,2,1,3,1,6,1,1,6,6,6,3,3,4,4,4,4,4,4,4,4,5,4,6,4,6,AU04,303
7,7,4,4,1,4,4,4,1,1,1,2,7,6,7,4,7,6,7,4,6,4,6,4,6,6,4,6,7,5,AU04,307
7,7,7,7,7,4,4,7,4,4,1,1,7,7,7,7,7,6,7,6,6,6,6,6,4,4,6,6,6,6,AU04,309
7,7,7,1,7,1,7,7,7,7,2,1,7,7,6,7,7,6,7,4,6,4,4,4,4,6,4,6,4,6,AU04,310
7,7,7,7,7,7,6,7,6,7,1,2,6,7,6,6,6,6,6,6,6,7,6,7,6,7,6,7,6,6,AU04,311
7,6,6,7,7,5,3,5,3,6,4,1,7,7,6,6,6,6,6,6,7,6,6,6,6,6,6,7,6,6,AU04,312
7,6,7,7,7,5,4,7,5,4,3,2,6,3,7,5,6,4,6,5,5,2,4,5,3,3,3,3,4,3,AU04,313
4,4,4,5,4,4,4,4,3,4,6,1,6,6,5,6,6,4,6,4,6,4,6,4,4,4,4,3,4,4,AU04,314
7,7,6,7,7,5,6,7,5,4,1,2,6,7,6,7,6,6,6,6,6,6,6,6,6,5,6,6,6,6,AU04,315
7,7,7,7,7,7,5,7,6,7,1,1,7,7,7,7,7,4,7,4,4,4,6,4,4,4,4,6,4,6,AU04,316
7,7,6,7,7,5,4,4,4,4,1,2,7,7,6,6,6,4,6,6,6,4,6,4,4,4,4,6,6,6,AU04,317
7,7,7,7,7,7,7,7,7,7,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,AU04,318
7,7,6,7,7,7,6,6,6,7,2,2,7,6,6,6,6,4,5,5,6,6,5,6,6,4,6,6,6,6,AU04,319
7,7,7,7,7,4,3,3,1,1,1,1,7,7,7,7,4,6,6,5,6,4,6,4,4,2,6,7,4,4,AU04,320
7,7,7,7,7,4,4,6,4,4,1,2,6,7,7,6,6,6,6,4,5,4,5,4,4,4,4,6,4,6,AU04,321
7,7,7,6,7,4,4,4,4,4,4,1,7,7,7,6,7,7,6,7,6,7,6,7,7,6,7,7,7,6,AU04,322
7,7,7,7,7,4,5,7,5,5,1,2,7,7,7,7,6,6,6,6,6,6,6,6,6,5,6,6,6,6,AU04,323
6,7,6,6,7,4,4,6,4,4,1,2,6,7,5,4,5,4,6,6,6,6,6,6,4,5,6,3,6,5,AU04,324
7,4,7,7,7,4,4,7,4,7,2,2,1,1,7,7,1,1,1,1,1,7,7,1,1,1,7,2,1,1,AU04,325
7,7,6,7,7,5,5,6,5,4,6,2,7,6,6,6,7,4,6,6,6,6,6,5,4,6,6,6,6,6,AU04,326
7,7,6,7,7,4,4,7,4,4,1,2,6,6,6,6,6,4,6,4,6,4,6,4,4,4,4,6,4,6,AU04,327
7,7,7,7,7,7,7,7,7,7,1,2,7,7,7,7,6,6,7,7,7,4,7,4,4,6,4,7,4,6,AU04,328
7,7,7,7,7,7,4,6,4,4,1,1,7,6,4,1,6,4,4,4,4,4,4,4,4,3,4,6,4,4,AU04,329
7,7,7,7,7,1,4,4,1,1,1,1,7,7,7,4,5,4,7,4,7,4,7,4,4,4,4,6,4,4,AU04,330
4,3,2,4,5,2,1,5,2,2,1,2,5,6,6,6,2,6,3,6,3,6,6,5,6,1,6,6,6,6,AU04,331
7,5,5,6,5,4,3,4,4,4,4,2,6,5,5,4,5,4,6,5,5,5,5,5,5,5,6,6,5,6,AU04,332
7,7,7,7,7,6,7,7,4,5,3,2,7,6,7,7,7,3,6,6,6,6,7,6,5,3,5,7,6,6,AU04,333
7,6,7,7,7,7,7,7,5,7,4,1,7,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,5,5,AU04,334
7,7,6,7,7,4,4,7,4,4,1,2,6,7,6,6,6,6,6,6,6,6,6,4,4,5,5,6,6,6,AU04,335
7,7,6,7,7,4,4,7,4,4,1,1,7,7,7,7,6,4,7,4,7,4,6,4,4,5,4,7,4,6,AU04,336
7,7,7,7,7,6,4,7,6,6,1,2,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,AU04,337
4,4,4,4,4,4,4,4,4,4,1,1,7,7,4,4,4,1,6,1,4,4,4,1,1,1,1,7,4,4,AU04,338
7,7,6,7,7,4,4,7,4,4,5,1,7,6,6,5,7,4,7,5,5,4,6,5,4,2,5,3,4,5,AU04,339
7,7,7,7,7,7,7,7,7,7,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,AU04,340
7,7,7,7,7,4,4,7,4,4,1,1,7,6,6,6,6,6,6,4,6,4,6,4,4,5,4,6,4,6,AU04,341
7,7,7,7,7,7,7,7,7,7,6,2,7,7,7,7,6,7,6,6,7,6,7,5,6,5,7,6,6,6,AU04,342
7,7,7,7,7,6,6,5,5,6,6,1,6,5,6,5,2,4,4,4,4,4,6,4,5,6,4,5,4,3,AU04,343
7,7,7,7,7,6,3,5,3,5,2,2,6,2,6,2,7,6,6,6,6,6,6,6,5,4,6,6,6,6,AU04,344
7,7,7,7,7,7,7,7,7,4,2,1,7,7,7,7,7,7,7,7,7,4,7,4,4,7,4,7,4,7,AU04,345
7,7,7,7,7,6,5,5,7,3,2,2,6,6,5,6,6,6,6,5,6,5,6,5,5,5,5,6,5,5,AU04,347
7,7,7,7,7,4,4,7,4,4,4,2,6,6,6,6,6,4,6,4,6,4,6,4,4,4,4,4,4,4,AU04,348
7,7,7,7,7,3,4,5,3,5,2,2,7,6,6,6,5,4,6,4,4,4,4,4,4,4,4,6,4,4,AU04,349
7,7,2,7,7,7,4,4,5,7,2,2,6,6,6,6,6,6,6,6,6,5,6,4,4,4,4,6,4,6,AU04,350
7,7,6,7,7,5,4,5,5,3,2,2,7,7,6,7,7,6,7,6,7,6,7,4,4,4,6,6,4,6,AU04,351
7,7,6,7,7,7,6,7,5,5,6,1,7,7,7,7,7,5,7,5,7,6,7,4,7,6,5,3,5,6,AU04,352
7,7,7,7,7,7,7,7,7,7,2,2,6,6,5,5,6,5,6,6,5,6,5,5,6,6,5,6,6,6,AU04,353
7,7,7,7,7,4,5,7,5,6,1,2,7,7,7,7,7,7,7,7,7,4,7,4,4,7,4,7,4,7,AU04,354
7,6,7,7,7,4,4,7,3,4,1,2,6,5,5,6,2,6,5,4,5,3,4,4,3,4,3,6,5,5,AU04,355
7,7,7,7,7,1,1,7,1,7,5,2,2,7,7,7,6,4,6,1,3,7,3,7,1,1,7,7,7,3,AU04,356
7,7,6,6,7,6,4,6,3,5,2,2,6,6,6,6,6,4,6,5,6,5,6,5,6,6,5,5,5,6,AU04,357
7,7,7,7,7,5,4,6,5,4,2,2,7,7,7,7,5,4,6,6,6,5,6,5,6,5,6,5,6,5,AU04,358
7,7,7,7,7,7,6,7,6,6,1,2,7,7,7,7,6,5,7,6,6,4,6,6,6,5,4,6,4,7,AU04,360
7,7,7,7,7,7,6,6,6,6,2,2,7,6,6,6,6,5,6,5,5,5,6,4,4,5,4,6,4,6,AU04,361
7,7,7,7,7,4,4,4,3,5,1,1,7,5,5,5,7,4,6,6,6,4,6,6,5,4,6,6,6,6,AU04,362
7,7,7,7,7,5,4,5,2,5,1,1,7,7,7,7,7,5,7,6,6,4,7,6,4,4,6,5,6,6,AU04,363
7,6,6,7,7,5,6,6,7,4,1,1,6,6,6,6,6,2,6,4,5,4,4,4,4,2,4,6,4,4,AU04,364
6,6,6,7,6,5,5,5,3,2,6,2,4,4,5,4,4,4,4,4,4,4,4,5,4,4,5,3,3,4,AU04,365
6,7,5,7,7,5,4,4,5,4,5,1,7,6,5,4,6,6,6,5,5,5,6,4,4,5,4,6,5,6,AU04,366
7,6,6,7,7,5,5,5,5,5,2,2,6,6,5,5,6,5,6,6,6,6,6,6,6,4,6,6,6,6,AU04,367
7,6,5,5,7,4,4,6,4,5,3,1,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,AU04,368
7,6,7,7,7,4,4,6,4,4,2,2,6,6,6,6,1,4,6,5,5,4,6,5,5,4,5,6,6,5,AU04,369
7,7,7,7,7,5,5,5,6,7,5,2,7,7,6,5,7,7,7,7,7,7,7,7,6,7,7,7,7,7,AU04,370
7,7,7,7,7,7,7,7,7,7,6,2,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,AU04,371
6,6,4,7,6,5,4,4,4,4,4,2,6,4,4,4,5,4,6,4,4,4,4,4,4,4,4,4,4,4,AU04,372
7,7,6,7,7,5,6,7,6,6,4,1,7,6,6,5,5,4,5,5,5,4,5,6,6,4,6,5,6,3,AU04,373
6,6,6,6,7,6,6,6,6,6,4,1,7,7,7,7,6,6,7,7,7,7,7,7,7,6,7,5,6,7,AU04,375
7,7,6,7,7,4,4,4,4,5,2,2,7,7,7,7,5,4,7,4,4,4,4,4,4,3,4,6,4,5,AU04,376
7,7,7,7,7,7,6,7,6,7,1,2,7,7,7,7,7,6,7,6,7,6,6,6,6,6,6,6,6,6,AU04,377
7,7,7,7,7,7,7,7,7,7,2,1,7,7,6,7,6,6,7,7,7,6,6,7,6,6,7,6,7,6,AU04,378
7,7,7,7,7,7,7,7,7,7,2,1,7,7,7,7,7,6,6,6,7,6,6,6,6,7,6,6,6,6,AU04,379
7,6,6,7,7,5,4,4,4,4,6,1,6,6,6,6,6,4,6,4,6,4,6,4,4,2,4,3,4,4,AU04,380
7,7,4,7,7,7,3,5,5,5,6,1,7,7,6,6,5,4,6,4,2,4,4,4,4,3,4,6,5,4,AU04,381
7,7,7,7,7,6,6,6,6,6,5,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,AU04,382
6,6,4,6,7,1,1,5,3,1,1,2,7,6,7,6,7,6,6,6,6,4,6,4,2,5,4,5,6,6,AU04,383
7,7,6,7,7,4,4,5,5,5,1,2,7,7,7,7,7,6,7,6,6,6,6,6,6,3,6,3,6,6,AU04,384
7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,AU04,386
7,5,6,5,7,4,5,5,4,4,2,1,6,7,7,6,7,6,6,6,6,4,6,4,4,4,6,6,4,6,AU04,387
7,7,7,7,7,5,5,6,1,5,1,2,7,7,6,6,6,4,7,4,6,4,7,4,4,4,4,7,4,6,AU04,388
7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,6,7,7,7,7,7,6,6,6,7,6,6,7,7,AU04,389
6,4,4,7,6,4,3,4,3,1,2,2,6,6,6,6,7,4,7,6,6,6,6,6,6,6,6,6,6,6,AU04,390
7,4,4,7,7,4,4,4,4,4,1,2,7,7,4,7,7,4,7,4,7,4,4,2,4,4,4,6,4,6,AU04,397
7,5,5,5,7,3,4,6,1,2,7,2,7,3,7,7,6,7,5,3,3,3,4,2,5,4,4,2,4,2,US00,398
7,3,5,5,7,5,7,6,7,4,5,2,3,4,3,1,2,6,5,4,7,2,3,4,4,3,2,4,3,4,US00,399
7,6,6,7,7,1,1,4,1,4,1,1,7,7,7,3,3,6,4,4,4,4,4,4,4,4,4,6,4,4,US00,400
7,7,7,7,7,7,6,7,6,7,7,7,7,6,6,6,7,6,6,6,7,7,6,6,6,6,7,6,6,7,US00,401
5,5,4,5,3,3,3,2,3,2,3,2,6,5,5,4,6,5,4,5,4,5,3,4,6,4,6,6,5,6,US00,402
6,5,4,5,6,4,3,4,4,4,2,2,6,7,7,6,6,6,6,4,6,5,6,6,6,6,5,6,4,5,US00,403
7,4,4,6,6,4,4,4,2,4,2,3,7,4,7,5,4,2,4,4,4,4,4,4,4,4,4,3,4,4,US00,404
7,6,3,7,4,7,6,2,7,3,6,6,5,6,5,7,6,5,5,6,7,7,6,6,6,6,6,7,7,7,US00,405
6,3,3,6,6,6,6,6,6,6,6,5,5,5,6,5,6,6,5,6,6,6,6,6,6,6,6,5,6,6,US00,406
7,5,7,7,7,7,7,2,7,2,5,1,7,4,6,7,5,7,4,6,6,5,6,6,7,5,6,6,3,1,US00,407
6,4,6,6,6,3,2,4,4,4,6,2,5,6,6,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,US00,408
6,3,6,6,7,3,2,5,2,6,1,1,7,6,6,4,7,6,6,6,6,6,6,6,6,6,6,4,6,7,US00,409
1,1,4,1,1,4,1,1,4,1,1,1,7,7,1,1,7,6,4,4,4,4,7,4,4,4,4,4,4,1,US00,410
5,4,5,6,6,4,4,4,3,4,2,2,7,5,7,4,7,7,7,7,7,7,7,6,7,7,7,7,6,6,US00,411
7,7,7,7,7,1,7,1,7,7,7,6,7,7,6,6,6,6,7,7,6,7,7,6,7,7,6,7,7,7,US00,412
2,6,6,6,6,5,3,5,2,6,1,1,6,5,6,5,5,5,6,5,5,5,4,5,5,4,6,6,5,4,US00,413
3,2,4,4,4,3,4,3,2,4,6,3,4,6,2,5,3,3,5,5,3,5,4,5,6,2,5,6,5,5,US00,414
7,7,7,7,7,1,2,4,1,4,5,2,7,5,5,5,6,2,5,4,5,4,4,4,4,3,4,6,4,6,US00,415
7,6,4,3,4,6,6,7,4,5,7,6,6,7,7,6,6,7,7,6,7,6,7,7,4,7,7,6,6,6,US00,416
7,7,7,7,7,7,7,7,6,7,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,US00,417
7,7,7,7,7,4,3,6,4,6,3,1,6,4,6,5,5,4,5,3,6,3,5,4,3,2,2,5,4,3,US00,418
6,5,6,6,6,5,3,4,3,4,4,2,4,4,5,4,5,5,5,4,4,5,4,5,5,4,5,5,5,5,US00,419
5,4,4,6,7,3,2,4,3,4,1,2,7,6,5,4,4,7,7,4,7,4,6,4,4,4,4,5,4,4,US00,420
5,4,6,5,6,5,6,4,4,4,7,7,7,7,6,7,7,6,4,5,4,6,4,5,7,7,4,6,7,4,US00,421
7,7,7,7,7,1,1,2,4,4,1,1,6,6,5,3,6,5,7,4,6,4,5,4,4,4,4,6,4,1,US00,422
7,7,7,7,7,1,1,1,4,4,2,1,7,7,6,6,7,7,7,6,4,4,6,4,4,4,4,6,4,4,US00,423
7,7,5,7,7,6,4,4,4,3,1,1,7,7,7,7,7,4,6,4,7,6,4,4,4,4,4,4,4,4,US00,424
7,7,7,7,7,4,5,7,6,5,2,2,7,5,6,6,6,4,6,4,4,4,6,4,6,4,4,6,4,3,US00,425
7,6,6,7,6,6,6,6,6,6,4,1,4,5,4,4,4,4,5,4,4,4,4,4,6,4,4,4,4,4,US00,426
